tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline
58574,False,True,102322,125000000,"['Adventure', 'Action', 'Crime', 'Mystery']","There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",174,Warner Bros. Pictures,11,2011,334615000,The game is afoot.
347375,False,False,,35000000,"['Action', 'Thriller']","An elite group of American operatives, aided by a top-secret tactical command team, must transport an asset who holds life-threatening information to an extraction point 22 miles away through the hostile streets of an Asian city.",47729,STXfilms,8,2018,66308758,Option 1: Diplomacy. Option 2: Military. Meet Option 3.
256040,False,True,350309,25130430,"['Action', 'Adventure', 'Fantasy', 'War']","The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",57946,Arka Media Works,7,2015,90747520,
438674,False,False,,15000000,"['Crime', 'Action', 'Thriller']","Two policemen, one an old-timer, the other his volatile younger partner, find themselves suspended when a video of their strong-arm tactics becomes the media's cause du jour. Low on cash and with no other options, these two embittered soldiers descend into the criminal underworld to gain their just due, but instead find far more than they wanted awaiting them in the shadows.",108781,Cinestate,9,2018,660132,Those who can't earn a living must find another way to provide
625568,False,False,,33000000,"['Action', 'Thriller']","Rachel is a divorced single mother whose bad day gets even worse. She's running late to drop her son off at school when she honks her horn impatiently at a fellow driver during rush-hour traffic. After an exchange of words, she soon realizes that the mysterious man is following her and her young son in his truck. A case of road rage quickly escalates, at horrifyingly psychotic proportions, into full-blown terror as Rachel discovers the psychopath's sinister plan for revenge. He is single-mindedly determined to teach her a deadly lesson.",52180,Solstice Studios,7,2020,39238300,He can happen to anyone.
10249,False,True,869156,42000000,"['Action', 'Adventure', 'Science Fiction', 'Family']","A stunt pilot comes across a prototype jetpack that gives him the ability to fly. However, evil forces of the world also want this jetpack at any cost.",2,Walt Disney Pictures,6,1991,46704056,An Ordinary Man Forced to Become An Extraordinary Hero.
446807,False,True,575987,43000000,"['Action', 'Adventure', 'Crime']","After being enlisted to recover a dangerous computer program, hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.",5,Columbia Pictures,10,2018,35164920,The past never forgets.
281338,False,True,173710,150000000,"['Drama', 'Science Fiction', 'War']","Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",25,20th Century Fox,7,2017,490700000,For freedom. For family. For the planet.
16136,False,False,,5000000,"['Crime', 'Drama', 'Thriller']","Four Harlem friends -- Bishop, Q, Steel and Raheem -- dabble in petty crime, but they decide to go big by knocking off a convenience store. Bishop, the magnetic leader of the group, has the gun. But Q has different aspirations. He wants to be a DJ and happens to have a gig the night of the robbery. Unfortunately for him, Bishop isn't willing to take no for answer in a game where everything's for keeps.",4,Paramount,1,1992,20146880,In the Ghettos of Harlem you don't buy respect... you earn it.
119450,False,True,173710,170000000,"['Science Fiction', 'Action', 'Drama', 'Thriller']","A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",22213,TSG Entertainment,7,2014,710600000,One last chance for peace.
274854,False,False,,90000000,"['Fantasy', 'Action', 'Adventure']","The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.",24097,NeoReel,10,2015,146936910,Live forever. Hunt forever.
